Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
21402,HOSTFZN,11402,6/12 OZ,HST  SNCK PWDRSGR DNT 8CT,LP404013,MULTI PACK 6 PK,SBS HST,6
21411,HOSTFZN,11411,6/13.58 OZ,HST MNT CHOC TWINK MP10CT,LP404188,MULTI PACK 6 PK,SBS HST,6
21459,HOSTFZN,11459,6/13.58 OZ,HST GHOSTBUSTERS TWNK MP,LP404104,MULTI PACK LTO 6 PK,SBS HST,6
21470,HOSTFZN,11470,6/13.58 OZ,HST LMNADE STND TWNK MP10,LP404104,MULTI PACK 6 PK,SBS HST,6
21485,HOSTFZN,11485,6/12.7 OZ,HST SMORES CUPCAKE MP 8CT,LP404041,MULTI PACK LTO 6 PK,SBS HST,6
21494,HOSTFZN,11494,9/10.5 OZ,HST STRWBRY CHSCK DNT BAG,LP403937,BAG DONUT 9PK,SBS HST,9
21525,HOSTFZN,11525,6/10 OZ,HST BABY BUNDT CK LMNDRZL,LP404057,MULTI PACK 6 PK,SBS HST,6
21535,HOSTFZN,11535,6/12.7 OZ,HST KEYLIME CPCK 8CT MP,LP404041,MULTI PACK LTO 6 PK,SBS HST,6
21550,HOSTFZN,11549,6/12 OZ,HST SNACK GLZD DNT MP 8CT,LP404013,MULTI PACK 6 PK,SBS HST,6
21606,HOSTFZN,6326,6/20.8 OZ,HOSTESS SUZY Q SS FZ,LP404882,HST SS 6/8 CT,SBS HST,6
25019,HOSTFZN,25017,6/6/2.5 OZ,HST BBYBNDT LMN DRZL SS 2,LP404296,HST SS 6CT 6PK,SBS HST,36
25023,HOSTFZN,25022,6/10 OZ,HST BBYBNDT STRWBRYCHK MP,LP404057,MULTI PACK 6 PK,SBS HST,6
25027,HOSTFZN,25025,6/6/2.5 OZ,HST BBY BNDT STRWBRYCHSCK,LP404296,HST SS 6CT 6PK,SBS HST,36
25033,HOSTFZN,25032,6/10 OZ,HST BBY BNDT STRWBRYCHSCK,LP404057,MULTI PACK 6 PK,SBS HST,6
25042,HOSTFZN,25022,6/10 OZ,HST BBYBNDT STRWBRYCHK MP,LP404057,MULTI PACK 6 PK,SBS HST,6
25045,HOSTFZN,25044,6/8.62 OZ,HOSTESS BNCR GLZ TWNK FZ,LP404063,MULTI PACK 6 PK,SBS HST,6
25048,HOSTFZN,25047,6/8.2 OZ,HOSTESS BNCR CH DNGDNG MP,LP404063,MULTI PACK 6 PK,SBS HST,6
25051,HOSTFZN,25050,6/9.63 OZ,HOSTESS BNCR CNMN DNT MP,LP404063,MULTI PACK 6 PK,SBS HST,6
25176,HOSTFZN,25105,6/8/2.3 OZ,HOSTESS BNCR GLZD TWNKIES,LP404349,HST PREMIUM SS 8CT 6PK,SBS HST,48
25178,HOSTFZN,25173,8/6/2.57 OZ,HST BOUNCERS CIN DNT FZ,LP404349,HST PREMIUM SS 8CT 6PK,SBS HST,48
25185,HOSTFZN,,88/1 EA,HOSTESS C STORE CORE SHP,LP404338,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,88
25222,HOSTFZN,11058,6/12.7 OZ,HST DEVILS FOOD ZINGERS,LP403987,MULTI PACK 6 PK,SBS HST,6
25224,HOSTFZN,11059,6/12.7 OZ,HST VAN ZNGR MP 10CT FZ,LP403987,MULTI PACK 6 PK,SBS HST,6
25226,HOSTFZN,11060,6/13.4 OZ,HST RASP ZNGR MP 10CT FZ,LP403987,MULTI PACK 6 PK,SBS HST,6
25228,HOSTFZN,11061,6/12.7 OZ,HST CHOC DNG DNG MP FZ,LP404034,MULTI PACK 6 PK,SBS HST,6
25235,HOSTFZN,,6/6/2.55 OZ,HST CHOC DNG DNG SS FZ,LP404306,HST SS 6CT 6PK,SBS HST,36
25255,HOSTFZN,,48/1 EA,HST RWB CAKE SHPR FZN,LP404261,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25270,HOSTFZN,,52/1 EA,HOSTESS HOLIDAY CAKE SHPR,LP404266,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,52
