Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
504,HOSTESS,504,12/10.6 OZ,VRT USA SPEC PMPKN SPCWRF,LP404154,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
510,HOSTESS,510,12/10.6 OZ,VRT USA LEMON WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
511,HOSTESS,511,12/10.6 OZ,VRT USA VANILLA WAFER,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
512,HOSTESS,512,12/10.6 OZ,VRT USA CHOCOLATE WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
513,HOSTESS,513,12/10.6 OZ,VRT USA STRAWBERRY WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
519,HOSTESS,519,12/9 OZ,VRT USA ZS ORNG CREME WFR,LP404077,VRTMN ZS WAFERS LTO 12/9 OZ,SBS VRT,12
521,HOSTESS,521,12/9 OZ,VRT USA ZS LEMON WFR,LP404077,VRTMN ZS WAFERS LTO 12/9 OZ,SBS VRT,12
525,HOSTESS,525,12/9 OZ,VRT USA ZS VANILLA WFR,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
526,HOSTESS,526,12/9 OZ,VRT USA ZS CHOCOLATE WFR,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
527,HOSTESS,527,12/9 OZ,VRT USA ZS STRAWBERRY WFR,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
543,HOSTESS,543,12/9 OZ,VRTMN PNT BUTTER ZS WAFER,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
549,HOSTESS,549,12/8 OZ,VRT ZS FDG BRWN CHOC CHP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
550,HOSTESS,550,12/8 OZ,VRT USA ZS CHOC CHIP FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
551,HOSTESS,551,12/8 OZ,VRT USA ZS SHORTBREAD FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
552,HOSTESS,552,12/8 OZ,VRT USA ZS OATMEAL FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
564,HOSTESS,564,12/8 OZ,VRT USA ZS ICD ALMONETTE,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
565,HOSTESS,565,12/8 OZ,VRT USA ZS PCN SHRTBRD FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
566,HOSTESS,566,12/8 OZ,VRT USA ZS PCN CHOC CHPFP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
568,HOSTESS,568,12/11.3 OZ,VRT ZS FDG STRP SHORTBRD,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
574,HOSTESS,574,12/10.6 OZ,VRT USA SPEC KEY LIME WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
576,HOSTESS,576,12/10.6 OZ,VOORTMAN PNT BTR WAFERS,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
579,HOSTESS,579,12/10.6 OZ,VRT USA SUMMER BERRY WFR,LP404149,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
582,HOSTESS,582,12/10.6 OZ,VRT USA CHOC RASPBRY WFR,LP404158,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
586,HOSTESS,586,12/10.6 OZ,VRT USA ORANGE CREME WFR,LP404158,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
587,HOSTESS,587,12/10.6 OZ,VOORTMANS SMORES WAFERS,LP404154,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
591,HOSTESS,591,12/10.6 OZ,VRT USA PEACHES & CRM WFR,LP404151,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
592,HOSTESS,592,12/10.6 OZ,VRT STRWBRRY SHRTCK WFR,LP404151,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
593,HOSTESS,593,6/9/5.17 OZ,VRT USA VAN WFR SS 10CT,LP404029,VRTMN MEGA SZ SS 6/9/5.17 OZ,SBS VRT,54
595,HOSTESS,595,6/9/5.17 OZ,VRT USA STRWBRY WFR SS10C,LP404029,VRTMN MEGA SZ SS 6/9/5.17 OZ,SBS VRT,54
597,HOSTESS,597,6/9/5.17 OZ,VRT USA CHOC WFR SS 10CT,LP404029,VRTMN MEGA SZ SS 6/9/5.17 OZ,SBS VRT,54
632,HOSTESS,632,12/10.6 OZ,VRT USA RASPBERRY WFR,LP404158,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
677,HOSTESS,677,12/12.3 OZ,VOORTMAN HOLIDAY TREATS,LP403996,VRTMN COOKIES LTO 12/7-12 OZ,SBS VRT,12
678,HOSTESS,678,12/12.3 OZ,VRT USA GNGRBEARD BAG CKI,LP403996,VRTMN COOKIES LTO 12/7-12 OZ,SBS VRT,12
870,HOSTESS,870,1/15 LB,VRT VANILLA WFR BULK,LP404428,DBW REG BULK 1/15 LB,SBS VRT,1
1001,HOSTESS,1001,6/6/3.17 OZ,HST CHOC CUP CAKE SS 2CT,LP404301,HST SS 6/6/1-6 CT,SBS HST,36
1004,HOSTESS,1004,6/8/2.89 OZ,HST COFFEE CAKE SS 2CT,LP404297,HST SS 6/8/2 CT,SBS HST,48
1005,HOSTESS,1005,6/6/3.81 OZ,HST CHOC ZINGER SS 3CT,LP404326,HST SS 6/6/1-6 CT,SBS HST,36
1007,HOSTESS,1007,6/6/3.38 OZ,HST ORNG CUP CAKE SS 2CT,LP404303,HST SS 6/6/1-6 CT,SBS HST,36
1008,HOSTESS,1008,6/6/4.02 OZ,HST RASP ZINGER SS 3CT,LP404326,HST SS 6/6/1-6 CT,SBS HST,36
1009,HOSTESS,1009,6/6/3.5 OZ,HST SNOBALL SS 2CT,LP404321,HST SS 6/6/1-6 CT,SBS HST,36
1011,HOSTESS,1011,6/6/3.81 OZ,HST VAN ZINGER SS 3CT,LP404326,HST SS 6/6/1-6 CT,SBS HST,36
1016,HOSTESS,1016,6/6/4 OZ,HST CINN ROLL SS,LP404442,HST SS 6/6/1-6 CT,SBS HST,36
1058,HOSTESS,1001,3/6/3.17 OZ,HST CHOC CUPCK SS 2CT FRS,LP404301,HST SS 3 PK CADDY,SBS HST,18
1060,HOSTESS,1009,3/6/3.5 OZ,HST SNOBL SS 2CT FRSH,LP404321,HST SS 3 PK CADDY,SBS HST,18
1062,HOSTESS,1007,3/6/3.38 OZ,HST ORNG CPCK SS 2CT FRSH,LP404303,HST SS 3 PK CADDY,SBS HST,18
1084,HOSTESS,5003,6/10/3 OZ,HST DBL CHOC MN DNT SS6CT,LP404308,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
1096,HOSTESS,1096,6/10/4 OZ,HST CARML CRNCH DNT SS6CT,LP404373,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
1100,HOSTESS,1100,6/6/3.17 OZ,HST STR SPNGLD CPCK SS2CT,LP404365,HST SS LTO 6/6/2 CT,SBS HST,36
1113,HOSTESS,1011,3/6/3.81 OZ,HST VAN ZNGR SS FSH 3CT,LP404326,HST SS 3 PK CADDY,SBS HST,18
1114,HOSTESS,1004,3/8/2.89 OZ,HST COF CK SS 3CT CDY,LP404297,HST PREM SS 8CT 3PK,SBS HST,24
1122,HOSTESS,1008,3/6/4.02 OZ,HST RASP ZNGR SS FSH 3CT,LP404326,HST SS 3 PK CADDY,SBS HST,18
1139,HOSTESS,6001,6/8/4.25 OZ,HST APL PIE SS FSH 8CT,LP404320,HST SS 6/8 CT,SBS HST,48
1140,HOSTESS,6002,6/8/4.25 OZ,HST CHRY PIE SS FSH 8CT,LP404320,HST SS 6/8 CT,SBS HST,48
1141,HOSTESS,6002,2/8/4.25 OZ,HST CHRY PIE SS 8CT 2CADY,LP404320,HST SS 2 PK CADDY,SBS HST,16
1142,HOSTESS,6001,2/8/4.25 OZ,HST APL PIE SS 8CT 2CADDY,LP404320,HST SS 2 PK CADDY,SBS HST,16
1147,HOSTESS,1148,6/25.4 OZ,HST SCARY CPCK JUMBO 16CT,LP404125,MULTI PACK SML FRM LTO 6 PK,SBS HST,6
1149,HOSTESS,1150,6/21.73 OZ,HOSTESS CHOC TWK,LP404168,HST SS LTO 6/6/2 CT,SBS HST,6
1151,HOSTESS,1010,6/6/2.7 OZ,HST TWINK SS FSH 2CT,LP404325,HST SS 6/6/1-6 CT,SBS HST,36
1152,HOSTESS,5002,6/10/3 OZ,HST CHOC DNT SS 6CT FSH,LP404308,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
1153,HOSTESS,1006,6/6/3 OZ,HST HO HO SS 3CT FSH,LP404313,HST SS 6/6/1-6 CT,SBS HST,36
1154,HOSTESS,5004,6/10/3 OZ,HST PWD SGR SS DNT 6CT FS,LP404309,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
1155,HOSTESS,1155,6/6/3.17 OZ,HST HOLIDAY CUP CK SS 2CT,LP404365,HST SS LTO 6/6/2 CT,SBS HST,36
1157,HOSTESS,1157,6/10/3 OZ,HST COCO MRSHMLW DNT SS6C,LP404887,HST SS DONETTE LTO 6 PK,SBS HST,60
1159,HOSTESS,1159A,6/10/4.23 OZ,HST CARROT CAK DNT SS 6CT,LP404374,HST SS DONETTE LTO 6 PK,SBS HST,60
01159B,HOSTESS,1160,6/42.3 OZ,HOSTESS CARROT CKE DNT SS,LP404888,HST SS DONETTE LTO 6 PK,SBS HST,6
1161,HOSTESS,1161,6/6/2.7 OZ,HST STRWBRY TWINK SS 2CT,,HST SS 6/6/1-6 CT,SBS HST,36
1186,HOSTESS,1010,3/6/2.7 OZ,HST TWINKIE SS 2CT 3CDY,LP404325,HST SS 3 PK CADDY,SBS HST,18
1187,HOSTESS,1006,3/6/3 OZ,HST HO HO SS 3CCT 3CDY,LP404313,HST SS 3 PK CADDY,SBS HST,18
1188,HOSTESS,5004,2/10/3 OZ,HST PWD SGR MN DNT SS 6CT,LP404309,HST SS DONUT 2 PK CADDY,SBS HST,20
1189,HOSTESS,5002,2/10/3 OZ,HST CHOC MN DNT SS 6CT 2C,LP404308,HST SS DONUT 2 PK CADDY,SBS HST,20
1190,HOSTESS,1002,3/6/2.55 OZ,HST CHOC DNG DNG SS 2CT3C,LP404306,HST SS 3 PK CADDY,SBS HST,18
1201,HOSTESS,1005,3/6/3.81 OZ,HST CHOC ZNGR SS 3CDY CAS,LP404326,HST SS 3 PK CADDY,SBS HST,18
1217,HOSTESS,1216,6/6/4 OZ,GLZD STWBRY DNT SS FSH 6,LP404309,HST SS 6/6/1-6 CT,SBS HST,36
1219,HOSTESS,1218,6/6/4 OZ,GLZD BLUBRY DNT SS FSH 6,LP404309,HST SS 6/6/1-6 CT,SBS HST,36
1232,HOSTESS,1050,6/6/5 OZ,HST ICED APL DANISH SS6CT,LP404443,HST SS 6/6/1-6 CT,SBS HST,36
1234,HOSTESS,1052,6/6/5 OZ,HST ICED CHS DANISH SS6CT,LP404443,HST SS 6/6/1-6 CT,SBS HST,36
1236,HOSTESS,1053,6/6/5 OZ,HST ICD BRY&CHS DANISH SS,LP404443,HST SS 6/6/1-6 CT,SBS HST,36
1240,HOSTESS,1240,6/6/3.17 OZ,HST ICED PMKIN CPCK SS 2C,LP404369,HST SS LTO 6/6/2 CT,SBS HST,36
1242,HOSTESS,1210,3/6/3.27 OZ,HST BDAY CUP CK SS 2CT 3C,LP404300,HST SS 3 PK CADDY,SBS HST,18
1246,HOSTESS,1246,6/6/3.17 OZ,HST STRWBRY CPCK SS 2CT,LP404808,HST SS LTO 6/6/2 CT,SBS HST,36
1256,HOSTESS,1256,10/6/30 OZ,HOSTESS MAPLE DONUT SS,LP404373,HST SS 6/6/1-6 CT,SBS HST,60
1262,HOSTESS,1262,6/6/2.7 OZ,HST MXD BERRY TWINK SS2CT,LP404375,HST SS LTO 6/6/2 CT,SBS HST,36
1264,HOSTESS,1264,6/10/3 OZ,HST FRST STRWBRY SS,LP404374,HST SS DONETTE LTO 6 PK,SBS HST,60
1267,HOSTESS,1267,10/6/3 OZ,HST STRWBRY GLZ DNT SS6CT,LP404372,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
1269,HOSTESS,1269,6/6/3.17 OZ,HST SCARYCAKE CPCK SS 2CT,LP404363,HST SS LTO 6/6/2 CT,SBS HST,36
1273,HOSTESS,1273,6/6/3.17 OZ,HST SMORES CUP CK SS 2CT,LP404367,HST SS LTO 6/6/2 CT,SBS HST,36
1283,HOSTESS,1283,6/6/3.17 OZ,HST SPRING CPCK SS 2CT,LP404366,HST SS LTO 6/6/2 CT,SBS HST,36
1291,HOSTESS,1291,6/6/4 OZ,HST GLZD JUMBO DNT SS 2CT,LP404309,HST SS 6/6/1-6 CT,SBS HST,36
1293,HOSTESS,1262,3/6/2.7 OZ,HST MXD BRY TWNK SS2CT3CD,LP404375,HST SS 3 PK CADDY,SBS HST,18
1307,HOSTESS,1279,6/3/3 OZ,HST BLUBRY MFN STIX SS3CT,LP404317,HST SS 3 PK CADDY,SBS HST,18
1309,HOSTESS,1281,3/6/3 OZ,HST CHOC CHIP MFN STIX3CT,LP404317,HST SS 3 PK CADDY,SBS HST,18
1557,HOSTESS,1557,12/7.1 OZ,VRT USA ZS COCONUT FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
2300,HOSTESS,2300,16/7.1 OZ,VRT USA VANILLA WFR,LP404084,VRTMN CRM WAFER 16/7.1 OZ,SBS VRT,16
2301,HOSTESS,2301,16/7.1 OZ,VRT USA STRAWBERRY WFR,LP404084,VRTMN CRM WAFER 16/7.1 OZ,SBS VRT,16
2302,HOSTESS,2302,16/7.1 EA,VRT USA CHOCOLATE WFR,LP404084,VRTMN CRM WAFER 16/7.1 OZ,SBS VRT,16
2385,HOSTESS,,48/1 EA,HOSTESS CUPCAKES MINIS DS,LP404960,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,48
3144,HOSTESS,3144,6/12.7 OZ,HOSTESS SUGAR COOKIE CPCK,LP404044,HST LTO 6/8 CT,SBS HST,6
4014,HOSTESS,,60/1 EA,VRT USA CORE WFR SHP 4014,LP404128,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,60
4018,HOSTESS,,56/1 EA,VRT USA CORE SF SHPR 4018,LP404066,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,56
4023,HOSTESS,,36/12.3 OZ,VRT USA HLDAY BAGCKIE SHP,LP403977,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,36
4031,HOSTESS,,64/10.6 OZ,VRT USA SPRING WAFER SHPR,LP404135,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,64
4032,HOSTESS,,18/5.17 OZ,VRT USA MEGA WFR COUNTER,LP404019,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,18
4054,HOSTESS,4054,12/10.6 OZ,VRT USA TROPICAL FRT WFR,LP404149,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
4057,HOSTESS,,47/10.6 OZ,VRT USA SUMR WFR SHPR47CT,LP404138,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
4058,HOSTESS,4058,12/10.6 OZ,VRT USA RSPBRY LMNADE WFR,LP404149,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
4059,HOSTESS,,47/10.6 OZ,VRT USA SUMMER 2 WFR SHPR,LP404139,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
4060,HOSTESS,,46/1 EA,VRT USA SPR GRAINSF WFRSH,LP404071,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,46
4063,HOSTESS,,47/1 EA,VRT CORE ZERO SGR MX SHPR,LP404072,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,47
4064,HOSTESS,,47/1 EA,VRT USA CORE WAFER SHPR,LP404131,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,47
4067,HOSTESS,,47/1 EA,VRT USA VAN SF WFR SHPR,LP404074,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,47
4071,HOSTESS,,47/10.6 OZ,VRT USA FALL WAFER SHPR,LP404140,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
4072,HOSTESS,,46/10.6 OZ,VRT USA HOLIDAY SHPR,LP404159,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,46
4078,HOSTESS,,46/1 EA,VRT USA HOLIDAY 46CT SHPR,LP403978,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,46
4079,HOSTESS,574,24/10.6 OZ,VRT USA KEY LIME WFR24DRC,,VRTMN WAFERS DRC 24/10.6 OZ,SBS VRT,24
4080,HOSTESS,512,24/10.6 OZ,VRT USA CHOC WFR 24CT DRC,,VRTMN WAFERS DRC 24/10.6 OZ,SBS VRT,24
4081,HOSTESS,511,24/10.6 OZ,VRT USA VAN WFR 24CT DRC,,VRTMN WAFERS DRC 24/10.6 OZ,SBS VRT,24
4082,HOSTESS,513,24/10.6 OZ,VRT USA STRWBRY WFR24CTDR,,VRTMN WAFERS DRC 24/10.6 OZ,SBS VRT,24
4083,HOSTESS,510,24/10.6 OZ,VRT USA LMN WFR 24CT DRC,,VRTMN WAFERS DRC 24/10.6 OZ,SBS VRT,24
4086,HOSTESS,574,12/10.6 OZ,VRT USA KEY LIME WFR 12CT,LP404158,VRTMN WAFERS DRC 12/10.6 OZ,SBS VRT,12
4087,HOSTESS,512,12/10.6 OZ,VRT USA CHOC WFR 12CT DRC,LP404158,VRTMN WAFERS DRC 12/10.6 OZ,SBS VRT,12
4088,HOSTESS,511,12/10.6 OZ,VRT USA VAN WFR 12CT DRC,LP404158,VRTMN WAFERS DRC 12/10.6 OZ,SBS VRT,12
4089,HOSTESS,513,12/10.6 OZ,VRT USA STRWBRYWFR 12CTDR,LP404158,VRTMN WAFERS DRC 12/10.6 OZ,SBS VRT,12
4090,HOSTESS,510,12/10.6 OZ,VRT USA LMN WFR 12CT DRC,LP404158,VRTMN WAFERS DRC 12/10.6 OZ,SBS VRT,12
4091,HOSTESS,582,12/10.6 OZ,VRT USA CHOCRSPBRY WFRDRC,LP404158,VRTMN WAFERS DRC 12/10.6 OZ,SBS VRT,12
4092,HOSTESS,577,12/10.6 OZ,VRT USA COCONT CRM WFRDRC,LP404158,VRTMN WAFERS DRC 12/10.6 OZ,SBS VRT,12
4093,HOSTESS,525,12/9 OZ,VRT USA SF VANWFR DRC PRF,LP404077,VRTMN ZS WAFERS DRC 12/9 OZ,SBS VRT,12
4094,HOSTESS,526,12/9 OZ,VRT USA SF CHOCWFR DRCPRF,LP404077,VRTMN ZS WAFERS DRC 12/9 OZ,SBS VRT,12
4095,HOSTESS,527,12/9 OZ,VRT USA SF STRWBRYWFR DRC,LP404077,VRTMN ZS WAFERS DRC 12/9 OZ,SBS VRT,12
4272,HOSTESS,,28/1 EA,HOSTESS SUZYQ TWNK CNT UN,LP404948,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,28
5001,HOSTESS,5002,12/7.6 OZ,VRT USA SPRGRAIN DBL CHOC,LP404078,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5003,HOSTESS,5004,12/7.6 OZ,VRT SPR GRN DRK CHOC CHNK,LP404308,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
05005A,HOSTESS,5006,6/5 OZ,VOORTMAN ZS ICD OTML CKIE,LP404032,VRTMN ZS MINI COOKIE 6/5 OZ,SBS VRT,6
05005B,HOSTESS,5005,6/10/4 OZ,HST CRUNCH MN DNT SS 6CT,LP404309,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
5006,HOSTESS,5006,6/10/3.7 OZ,HST GLZD MN DNT SS 6CTFSH,LP404309,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
5007,HOSTESS,5008,6/5 OZ,VOORTMAN ZS VNLA SHRTBRD,LP404032,VRTMN ZS MINI COOKIE 6/5 OZ,SBS VRT,6
5010,HOSTESS,5010,1/48 OZ,HST CHOC/PWDR CLUB 32CT,LP404600,MULTI PACK CLUB,SBS HST,1
5011,HOSTESS,5012,24/24 EA,VRT CL US 2022 WFR VAN FS,,VRTMN CLUB ITEMS,SBS VRT,24
5013,HOSTESS,,46/1 EA,VRT USA BETTER FOR YOU DS,,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,46
5014,HOSTESS,,47/1 EA,VOORTMAN SPRING WFR SHPR,,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
5027,HOSTESS,549,12/8 OZ,VRT ZS FDG BRW CHC CH DRC,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
5039,HOSTESS,,47/1 EA,VOORTMAN FALL WAFER SHPR,LP404142,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
5045,HOSTESS,5046,12/10.6 OZ,VOORTMAN EGGNOG WAFERS,LP404153,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
5049,HOSTESS,5046,12/10.6 OZ,VOORTMAN EGG NOG WAFERS,,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
5050,HOSTESS,5048,12/10.6 OZ,VOORTMAN CANDY CANE WAFER,,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
5051,HOSTESS,,40/1 EA,VRT SF MINI COOKIE SHPR,,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5052,HOSTESS,,47/1 EA,VOORTMAN HOLIDAY DISPLAY,LP404143,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
5064,HOSTESS,5065,6/6.5 OZ,VOORTMAN ZS VNL MNI WFRS,LP404400,VRTMN ZS MINI WAFER 6/6.5 OZ,SBS VRT,6
5066,HOSTESS,5067,6/6.5 OZ,VOORTMAN ZS CHC MINI WFR,LP404400,VRTMN ZS MINI WAFER 6/6.5 OZ,SBS VRT,6
5068,HOSTESS,,40/1 EA,VOORTMAN MINI MIXED SHPR,LP404075,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5069,HOSTESS,,40/6.5 OZ,VOORTMAN ZS MINI WFR SHPR,LP404076,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5070,HOSTESS,5071,12/7.4 OZ,VOORTMAN OATMEAL RAISIN,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5072,HOSTESS,5073,12/7.62 OZ,VOORTMAN PS CCNT COOKIES,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5076,HOSTESS,5077,12/7.4 OZ,VOORTMAN OATMEAL CHOC CHP,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5078,HOSTESS,5079,12/8.25 OZ,VOORTMAN OTM CRNB FLX CKE,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5080,HOSTESS,5081,15/7.93 OZ,VOORTMAN PS ALMN CRNC CKE,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,15
5110,HOSTESS,5111,12/7.76 OZ,VOORTMAN ASST FESTIVE CKE,LP403993,VRTMN COOKIES LTO 12/7-12 OZ,SBS VRT,12
5112,HOSTESS,5113,12/7.76 OZ,VOORTMAN GNGRBRD CKIES,,VRTMN COOKIES LTO 12/7-12 OZ,SBS VRT,12
5135,HOSTESS,,40/1 EA,VOORTMAN ZS MINI CKIE SHP,LP404031,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5136,HOSTESS,,47/1 EA,VOORTMAN SUMMER WFR SHPPR,LP404145,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
5137,HOSTESS,,47/1 EA,VOORTMAN CORE COOKIE SHPR,LP403983,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,47
5138,HOSTESS,,40/1 EA,VOORTMAN CORE COOKIE SHPR,LP403984,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5139,HOSTESS,5140,12/10.6 OZ,VOORTMAN APPLE PIE WAFERS,LP404154,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
5141,HOSTESS,,47/1 EA,VOORTMAN FALL WAFER SHPR,LP404146,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
5142,HOSTESS,,46/1 EA,VOORTMAN HOLIDAY SHIPPER,LP403985,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,46
5145,HOSTESS,5146,12/8.04 OZ,VOORTMAN PS OTML RSN CKIE,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5147,HOSTESS,5148,12/8.04 OZ,VOORTMAN PS OTML CHC CHNK,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5151,HOSTESS,5152,6/5 OZ,ZS MINI FDG BRWNIE CKIES,LP404032,VRTMN ZS MINI COOKIE 6/5 OZ,SBS VRT,6
5153,HOSTESS,,47/1 EA,VOORTMAN SPRING WFR SHPPR,LP404481,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,47
5160,HOSTESS,5161,12/9.5 OZ,VOORTMAN PS WINDMILL CKIE,LP404017,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
5162,HOSTESS,,40/1 EA,VRTMN PERFECTLY SWT MX DS,LP404557,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5163,HOSTESS,,40/1 EA,VOORTMAN PS OATMEAL DSPL,LP404482,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5164,HOSTESS,,40/1 EA,VOORTMAN PS 2 MIX DISPLAY,LP404562,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5167,HOSTESS,5012,12/6/2.4 OZ,VOORTMAN SNK SZ WAFER VNL,LP404359,VRTMN SNACK WAFERS 12/6/2.4 OZ,SBS VRT,72
5169,HOSTESS,5012,3/12/2.4 OZ,VOORTMAN SNK SZ VNLA WFR,,VRTMN SNACK WAFERS 3/12/2.4 OZ,SBS VRT,36
5170,HOSTESS,5171,12/6/2.4 OZ,VOORTMAN SNK SZ WFR CHOC,LP404359,VRTMN SNACK WAFERS 12/6/2.4 OZ,SBS VRT,72
5173,HOSTESS,5171,3/12/2.4 OZ,VOORTMAN SNK SZ CHOC WFR,LP404359,VRTMN SNACK WAFERS 3/12/2.4 OZ,SBS VRT,36
5174,HOSTESS,,40/1 EA,VOORTMAN PS CHEWY DISPLAY,,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5175,HOSTESS,,40/1 EA,VOORTMAN ZS MINI CMB SHPR,LP404541,VRTMN SHIPPER/DISPLY/PLTS CORE,SBS VRT,40
5176,HOSTESS,5177,12/7.76 OZ,VOORTMAN FALL COOKIE,LP403993,VRTMN COOKIES LTO 12/7-12 OZ,SBS VRT,12
5179,HOSTESS,,54/1 EA,VOORTMAN FALL LTO SHIPPER,LP404680,VRTMN SHIPPER/DISPLY/PLTS LTO,SBS VRT,54
5180,HOSTESS,5181,12/8.04 OZ,VOORTMAN PS CHOC CHP CKIE,LP404015,VRTMN LS COOKIES 12/7-12 OZ,SBS VRT,12
5183,HOSTESS,5184,12/7.62 OZ,VOORTMAN PS COCONUT CKIES,LP404015,VRTMN LS COOKIES 12/7-12 OZ,SBS VRT,12
5186,HOSTESS,5187,12/8 OZ,VOORTMAN PS SHRTBRD CKIE,LP404015,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
