Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
82587,JMSMUC,82587,6 / 26 / OZ,SM CRMY NAT PNT BTR TWIN,LP402462,SM NAT PB 26 OZ,FHS SM,6
82589,JMSMUC,82589,6 / 26 / OZ,SM CHNKY NAT PNT BTR TWIN,LP402462,SM NAT PB 26 OZ,FHS SM,6
