Tactic ID,L6 Planning Account,Promo ID,Tactic Type,L5 Promoted Product Group Code,L5 Promoted Product Group,Payment Type,Promotion Contract ID,Promo Status,Fiscal Year,Promo Name,Discount Type,Tactic Order Start Date,Tactic Order End Date,Tactic Ship Start Date,Tactic Ship End Date,Tactic Performance Start Date,Tactic Performance End Date,Promotion Created Date,L1 SBU,L2 Segment,L3 Division,L4 Region,L5 Market,Promotion Notes,Discount Rate,Settled Spend $,Accrued Liability $,Planned Spend $,Remaining Spend $
U100G48H,C&S HOUSE,U100G48G,LDI Base,LP402462,SM PEANUT BUTTER NATURAL TWIN PK 26 OZ,Off Invoice, ,Approved,FY 2026,HOUSE C&S WHLSE BRATTLEBORO - LDI,% Off,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01,2026-04-30,2025-04-17 00:00:00,US RETAIL,NATIONAL WHOLESALE,C&S DIVISION,C&S REGION,C&S HOUSE AND LDI,(Empty),0.32,0,,0,0
U100G48L,C&S HOUSE,U100G48K,LDI Base,LP402462,SM PEANUT BUTTER NATURAL TWIN PK 26 OZ,Off Invoice, ,Approved,FY 2026,HOUSE C&S WHLSE GREENVILLE - LDI,% Off,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01,2026-04-30,2025-04-17 00:00:00,US RETAIL,NATIONAL WHOLESALE,C&S DIVISION,C&S REGION,C&S HOUSE AND LDI,(Empty),0.32,0,,0,0
U100G48P,C&S HOUSE,U100G48O,LDI Base,LP402462,SM PEANUT BUTTER NATURAL TWIN PK 26 OZ,Off Invoice, ,Approved,FY 2026,HOUSE C&S WHLSE JACKSONVILLE - LDI,% Off,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01,2026-04-30,2025-04-17 00:00:00,US RETAIL,NATIONAL WHOLESALE,C&S DIVISION,C&S REGION,C&S HOUSE AND LDI,(Empty),0.32,0,,0,0
